iter	RMSE
0	14.88312566
1	14.75800605
2	14.6328371
3	14.52937278
4	14.42452367
5	14.32387031
6	14.21926437
7	14.13348232
8	14.05380968
9	13.97608735
10	13.89878983
11	13.8214012
12	13.75227387
13	13.68949756
14	13.62578732
15	13.55414851
16	13.52826529
17	13.46719396
18	13.41246621
19	13.36942245
20	13.31988019
21	13.26710841
22	13.22066847
23	13.18015526
24	13.13177048
25	13.08065908
26	13.04611037
27	13.00363417
28	12.95491075
29	12.91166528
30	12.867104
31	12.83521665
32	12.79214379
33	12.75592393
34	12.71792161
35	12.6847771
36	12.64987229
37	12.61462768
38	12.57382649
39	12.54190269
40	12.50636689
41	12.4786374
42	12.44978989
43	12.42143259
44	12.38591895
45	12.34052573
46	12.3110869
47	12.28488917
48	12.24993611
49	12.22587203
50	12.20299206
51	12.17664218
52	12.15203857
53	12.13501756
54	12.10764282
55	12.0851879
56	12.06141334
57	12.03728776
58	12.01580421
59	11.98148177
60	11.95442655
61	11.93788107
62	11.91155021
63	11.87962864
64	11.85891548
65	11.83376373
66	11.80870838
67	11.79016882
68	11.77504602
69	11.75243236
70	11.7243019
71	11.69713994
72	11.67580982
73	11.65044952
74	11.63192009
75	11.60314583
76	11.58451127
77	11.55984933
78	11.53907659
79	11.51809401
80	11.49999443
81	11.4806813
82	11.46323639
83	11.44476054
84	11.41951547
85	11.40263131
86	11.38277757
87	11.35464346
88	11.3378101
89	11.32106779
90	11.30225499
91	11.27323137
92	11.24721437
93	11.22825047
94	11.20559753
95	11.18457651
96	11.16790098
97	11.14968531
98	11.13209628
99	11.10712525
100	11.08939152
101	11.06784457
102	11.03888875
103	11.01411462
104	10.98938799
105	10.97271975
106	10.94919994
107	10.91910998
108	10.91160306
109	10.89395343
110	10.881646
111	10.85811258
112	10.84297516
113	10.8197668
114	10.8030048
115	10.78078481
116	10.76222576
117	10.74802608
118	10.72269089
119	10.70343042
120	10.6875139
121	10.66976096
122	10.65137053
123	10.63117457
124	10.61066768
125	10.59672697
126	10.58022473
127	10.56341559
128	10.54536037
129	10.52959141
130	10.50657961
131	10.49239844
132	10.475969
133	10.46182068
134	10.44183327
135	10.43350042
136	10.40829797
137	10.39119635
138	10.37531769
139	10.35746226
140	10.33624092
141	10.31239449
142	10.30022172
143	10.28049744
144	10.26243943
145	10.24578418
146	10.22668075
147	10.20685949
148	10.18746589
149	10.16671044
150	10.15348515
151	10.1367419
152	10.11789652
153	10.0953739
154	10.07579231
155	10.06052544
156	10.0370978
157	10.01727358
158	9.999470001
159	9.981292379
160	9.967759754
161	9.94435074
162	9.925165764
163	9.908329263
164	9.892773502
165	9.880678759
166	9.860336559
167	9.842162582
168	9.82740225
169	9.809275489
170	9.796744448
171	9.780466456
172	9.759563757
173	9.739166639
174	9.721012211
175	9.702591175
176	9.682389324
177	9.662974694
178	9.644254225
179	9.623461421
180	9.60345761
181	9.583565955
182	9.568098258
183	9.547808322
184	9.527109779
185	9.511590825
186	9.498610128
187	9.475477982
188	9.456761023
189	9.442695039
190	9.428304765
191	9.411556665
192	9.398867455
193	9.379540522
194	9.360168344
195	9.34478268
196	9.337477197
197	9.320904207
198	9.30375597
199	9.287357169
200	9.267778845
201	9.255303214
202	9.240475892
203	9.225486389
204	9.2055658
205	9.187169108
206	9.172118779
207	9.155050222
208	9.14095602
209	9.128099713
210	9.116693746
211	9.105394356
212	9.087639853
213	9.074448716
214	9.057001366
215	9.038417035
216	9.024564585
217	9.012103213
218	8.993475917
219	8.979186258
220	8.963679319
221	8.944929716
222	8.926009131
223	8.905552521
224	8.887657296
225	8.879845567
226	8.860835165
227	8.842919562
228	8.823443533
229	8.808831297
230	8.790121775
231	8.780375801
232	8.768345213
233	8.750415505
234	8.734429904
235	8.723936536
236	8.715494665
237	8.69881586
238	8.688365892
239	8.67407121
240	8.656810726
241	8.646846366
242	8.63256949
243	8.614535524
244	8.600302382
245	8.590212529
246	8.573743268
247	8.563304149
248	8.54775405
249	8.538297407
250	8.524599608
251	8.518347586
252	8.502503577
253	8.488341781
254	8.47150908
255	8.455588584
256	8.439511315
257	8.423373587
258	8.415833489
259	8.406592652
260	8.391284098
261	8.378450389
262	8.369232297
263	8.356007031
264	8.342241112
265	8.329459132
266	8.316866558
267	8.310288637
268	8.30390298
269	8.288684188
270	8.282511643
271	8.267809867
272	8.25536538
273	8.241490669
274	8.228714376
275	8.216298858
276	8.202413312
277	8.18855648
278	8.173959747
279	8.160030766
280	8.153632407
281	8.138344832
282	8.123739757
283	8.111107367
284	8.098965288
285	8.087468674
286	8.07415236
287	8.066601909
288	8.0555578
289	8.050032564
290	8.041915643
291	8.029550915
292	8.017570008
293	8.009478074
294	7.998412873
295	7.986184692
296	7.975837543
297	7.961410636
298	7.946893829
299	7.942271382
300	7.93500498
301	7.922268562
302	7.910581098
303	7.896985688
304	7.892442469
305	7.87934615
306	7.865983452
307	7.854571187
308	7.843328786
309	7.831890465
310	7.821365461
311	7.807682805
312	7.803212617
313	7.792842954
314	7.779597448
315	7.76931937
316	7.759067326
317	7.749130667
318	7.737357493
319	7.732121005
320	7.721268425
321	7.709037771
322	7.696214991
323	7.690248151
324	7.678589123
325	7.672663217
326	7.662602242
327	7.653128738
328	7.64276179
329	7.631793626
330	7.621543341
331	7.611811181
332	7.601703165
333	7.59666436
334	7.586485854
335	7.573169438
336	7.568073219
337	7.558763947
338	7.548241194
339	7.538767354
340	7.528445751
341	7.515134758
342	7.503784901
343	7.495472138
344	7.483259567
345	7.469779654
346	7.458771492
347	7.454456545
348	7.447931862
349	7.44154323
350	7.436874768
351	7.424875505
352	7.415436836
353	7.407096157
354	7.396818752
355	7.389557624
356	7.379166006
357	7.364696358
358	7.354825095
359	7.343413959
360	7.337431333
361	7.325281296
362	7.320613755
363	7.310893016
364	7.301346106
365	7.297437292
366	7.288546987
367	7.277300535
368	7.270070974
369	7.261513601
370	7.256718821
371	7.247394526
372	7.236329643
373	7.226954832
374	7.216013947
375	7.205937558
376	7.194216163
377	7.18603752
378	7.173887578
379	7.166610961
380	7.158820035
381	7.149080227
382	7.143802642
383	7.136791516
384	7.12774799
385	7.116029198
386	7.108947541
387	7.104488482
388	7.099800334
389	7.091885128
390	7.086040149
391	7.075238227
392	7.066265262
393	7.058138802
394	7.049968678
395	7.046456778
396	7.036323356
397	7.030881117
398	7.022272447
399	7.019324642
400	7.01200715
401	7.009133222
402	6.99875735
403	6.995946976
404	6.99320802
405	6.983392149
406	6.975940623
407	6.968123455
408	6.961703672
409	6.953607966
410	6.944606973
411	6.936743235
412	6.929354552
413	6.919372718
414	6.911780809
415	6.901613283
416	6.893454578
417	6.88590632
418	6.877538383
419	6.865841223
420	6.857441781
421	6.850188787
422	6.843046233
423	6.833634511
424	6.828732065
425	6.817885569
426	6.811302995
427	6.801133054
428	6.793949642
429	6.78678026
430	6.776056018
431	6.770799221
432	6.766885416
433	6.759110393
434	6.75345723
435	6.747465367
436	6.738888259
437	6.730119198
438	6.722441968
439	6.715802598
440	6.708969522
441	6.7046083
442	6.696139621
443	6.689055124
444	6.682256931
445	6.678285343
446	6.672963128
447	6.669038484
448	6.665925214
449	6.657867745
450	6.654175422
451	6.647461349
452	6.64504953
453	6.636401676
454	6.626976946
455	6.620154866
456	6.612464222
457	6.605130947
458	6.598803206
459	6.588470457
460	6.57966426
461	6.571533897
462	6.563979581
463	6.556715421
464	6.549900624
465	6.54753182
466	6.541946449
467	6.534590849
468	6.531339948
469	6.52574605
470	6.520972574
471	6.512300769
472	6.508154755
473	6.499605914
474	6.49154423
475	6.485416596
476	6.476551306
477	6.473439467
478	6.465868868
479	6.460292353
480	6.455170312
481	6.445716903
482	6.439479841
483	6.437312848
484	6.43134443
485	6.429162791
486	6.423681605
487	6.414327829
488	6.40581736
489	6.401686023
490	6.395965263
491	6.390401064
492	6.383434076
493	6.379676118
494	6.374454272
495	6.366124318
496	6.359801159
497	6.354910994
498	6.352814884
499	6.343701582
500	6.338338793
501	6.331570455
502	6.328746538
503	6.324600742
504	6.316107717
505	6.314085245
506	6.306965801
507	6.301421472
508	6.293711759
509	6.290712775
510	6.281973285
511	6.274903538
512	6.26800967
513	6.263716848
514	6.254908264
515	6.248310089
516	6.242223756
517	6.237247104
518	6.228940923
519	6.225964056
520	6.221512663
521	6.213675078
522	6.209602044
523	6.202466811
524	6.198515694
525	6.190941183
526	6.184561281
527	6.181014063
528	6.178961974
529	6.177013401
530	6.170660172
531	6.16647584
532	6.159800591
533	6.152804944
534	6.146218698
535	6.139368959
536	6.132565669
537	6.124897144
538	6.116535213
539	6.109149785
540	6.103298514
541	6.099017831
542	6.094745207
543	6.092337741
544	6.085595892
545	6.078781463
546	6.072520225
547	6.066212892
548	6.058998532
549	6.055198731
550	6.052566424
551	6.045585883
552	6.040990982
553	6.037320681
554	6.034372194
555	6.030251838
556	6.028334545
557	6.019479822
558	6.010945396
559	6.005038999
560	5.998017404
561	5.99310394
562	5.987224713
563	5.981312496
564	5.974273117
565	5.970012469
566	5.967640778
567	5.961704044
568	5.958388127
569	5.954763539
570	5.94896193
571	5.945947341
572	5.937841298
573	5.930642236
574	5.923273459
575	5.916277325
576	5.911646575
577	5.909554886
578	5.907367194
579	5.898587807
580	5.894804487
581	5.888715152
582	5.88567311
583	5.881361806
584	5.879304624
585	5.877616272
586	5.871451414
587	5.864765434
588	5.860218483
589	5.856221543
590	5.850109903
591	5.846237325
592	5.839981544
593	5.834703069
594	5.825897268
595	5.819041651
596	5.813444968
597	5.810956362
598	5.805477407
599	5.79857898
600	5.795591827
601	5.790444826
602	5.786771391
603	5.778361062
604	5.773060291
605	5.766969981
606	5.761912991
607	5.759608547
608	5.753367349
609	5.749483158
610	5.746543768
611	5.741475574
612	5.734568605
613	5.728305106
614	5.723832267
615	5.716698716
616	5.713375738
617	5.7071848
618	5.705574285
619	5.699755325
620	5.695749188
621	5.689194502
622	5.682461227
623	5.677123901
624	5.674477671
625	5.668850234
626	5.664309407
627	5.659389399
628	5.654851613
629	5.651912005
630	5.64661174
631	5.642735476
632	5.63613245
633	5.632387223
634	5.630066432
635	5.627335926
636	5.624479308
637	5.619216253
638	5.612464184
639	5.610054609
640	5.605005356
641	5.600895194
642	5.596187532
643	5.59295509
644	5.590003222
645	5.584165118
646	5.578689971
647	5.572277799
648	5.570028911
649	5.5665759
650	5.563820511
651	5.560905854
652	5.558504465
653	5.553304804
654	5.549178524
655	5.543161454
656	5.541030528
657	5.537567378
658	5.532183978
659	5.527085095
660	5.524752454
661	5.519994856
662	5.517734424
663	5.514358413
664	5.511731268
665	5.505117123
666	5.501973179
667	5.498276316
668	5.492410875
669	5.488244981
670	5.486310006
671	5.482266006
672	5.475967967
673	5.469174161
674	5.466038273
675	5.459938768
676	5.45507966
677	5.4501351
678	5.445894725
679	5.443234911
680	5.436315015
681	5.42999988
682	5.425433543
683	5.421183695
684	5.415539355
685	5.413695697
686	5.410909891
687	5.406346319
688	5.403647104
689	5.398143702
690	5.391743651
691	5.387239324
692	5.380294893
693	5.37838022
694	5.375291771
695	5.370930302
696	5.367137807
697	5.361138955
698	5.358091415
699	5.35300536
700	5.347903056
701	5.345645244
702	5.341489084
703	5.337480396
704	5.332023722
705	5.329968013
706	5.326104819
707	5.324072069
708	5.322685823
709	5.31536177
710	5.313539094
711	5.308142038
712	5.306926793
713	5.303927267
714	5.299216749
715	5.296724893
716	5.292605351
717	5.287974814
718	5.280999932
719	5.276613279
720	5.272865885
721	5.270194057
722	5.26595671
723	5.264051256
724	5.258485823
725	5.254072675
726	5.25289202
727	5.24862227
728	5.241702707
729	5.23726045
730	5.230630103
731	5.228480009
732	5.222115068
733	5.218524388
734	5.215453498
735	5.213017869
736	5.211104723
737	5.205950521
738	5.202648352
739	5.197640636
740	5.192534333
741	5.186452842
742	5.181529604
743	5.177768635
744	5.173319145
745	5.170121607
746	5.165808255
747	5.163485514
748	5.16006642
749	5.158684459
750	5.154508971
751	5.150900846
752	5.145485584
753	5.142392482
754	5.138229471
755	5.135303747
756	5.130157667
757	5.12653356
758	5.12537843
759	5.122839059
760	5.121676092
761	5.115932364
762	5.113912034
763	5.107719856
764	5.102632027
765	5.10085225
766	5.096257853
767	5.094427956
768	5.091646133
769	5.086777037
770	5.079871856
771	5.075275702
772	5.070152577
773	5.064855664
774	5.060796106
775	5.057305567
776	5.055127232
777	5.049891828
778	5.04684475
779	5.04488473
780	5.039755292
781	5.038603312
782	5.036535011
783	5.035259961
784	5.031141302
785	5.027020062
786	5.023668741
787	5.018709851
788	5.017587434
789	5.012196616
790	5.010228719
791	5.005875081
792	5.00242815
793	5.000528185
794	4.999230952
795	4.992889211
796	4.988302773
797	4.983675141
798	4.979095606
799	4.975192003
800	4.973552264
801	4.968336835
802	4.963398626
803	4.961684217
804	4.958999909
805	4.957960002
806	4.954283457
807	4.950508476
808	4.946152022
809	4.944170239
810	4.942569069
811	4.939786104
812	4.935904563
813	4.931712515
814	4.926065447
815	4.922052669
816	4.917164448
817	4.915964571
818	4.914088591
819	4.909183211
820	4.904468502
821	4.903462239
822	4.900312672
823	4.897874394
824	4.892665221
825	4.891196185
826	4.88635518
827	4.883262202
828	4.878822046
829	4.877261013
830	4.872187868
831	4.870042381
832	4.865296111
833	4.861414071
834	4.858634221
835	4.853260185
836	4.849042531
837	4.848048636
838	4.845189172
839	4.839950637
840	4.838094865
841	4.836436547
842	4.832972858
843	4.828585254
844	4.825216713
845	4.822307782
846	4.820397718
847	4.81939846
848	4.815738914
849	4.811037795
850	4.807121098
851	4.803517753
852	4.800621582
853	4.797228773
854	4.792896081
855	4.787491757
856	4.784876224
857	4.780860059
858	4.779798055
859	4.775238822
860	4.772118666
861	4.770414657
862	4.767358624
863	4.765659596
864	4.76325023
865	4.7616167
866	4.760382472
867	4.75680157
868	4.754525675
869	4.750972487
870	4.746020605
871	4.742459101
872	4.738589259
873	4.734504784
874	4.731452948
875	4.727975713
876	4.724920439
877	4.721949088
878	4.717491695
879	4.712849357
880	4.711820009
881	4.708787523
882	4.707313809
883	4.703559553
884	4.699683547
885	4.697529974
886	4.692676542
887	4.689930272
888	4.687580567
889	4.684299606
890	4.681453206
891	4.679822317
892	4.674946476
893	4.670842227
894	4.66750305
895	4.664074869
896	4.661261053
897	4.655701745
898	4.653980216
899	4.653020141
900	4.65126061
901	4.64729159
902	4.645642021
903	4.641942388
904	4.639019031
905	4.636403152
906	4.632493806
907	4.631353019
908	4.629372424
909	4.624772663
910	4.620688164
911	4.619209734
912	4.616113263
913	4.614509798
914	4.612509533
915	4.61111997
916	4.608649244
917	4.607744133
918	4.606363854
919	4.601989906
920	4.599024809
921	4.597205466
922	4.594106927
923	4.590194671
924	4.586085458
925	4.582306501
926	4.577998277
927	4.576463333
928	4.573303755
929	4.571892812
930	4.570345489
931	4.565117021
932	4.564118075
933	4.559084477
934	4.557539041
935	4.554210603
936	4.551656393
937	4.548192732
938	4.546795766
939	4.543311988
940	4.540644205
941	4.537696829
942	4.533837694
943	4.529770849
944	4.525851717
945	4.522288936
946	4.521302603
947	4.518482315
948	4.515893093
949	4.51461913
950	4.511484002
951	4.509882578
952	4.508604624
953	4.505795871
954	4.504532693
955	4.499815619
956	4.49526511
957	4.491063691
958	4.487789615
959	4.484396229
960	4.482908541
961	4.478884136
962	4.477933757
963	4.476385152
964	4.473918953
965	4.473089005
966	4.47121913
967	4.468026083
968	4.464136436
969	4.461008032
970	4.460140037
971	4.456083025
972	4.452414391
973	4.450666876
974	4.446295193
975	4.444806513
976	4.441651332
977	4.437103607
978	4.435148808
979	4.430976422
980	4.428135989
981	4.42662129
982	4.425412828
983	4.420482835
984	4.419106348
985	4.415187108
986	4.41065861
987	4.406453296
988	4.404896983
989	4.403468508
990	4.400301171
991	4.397386407
992	4.394265186
993	4.393363599
994	4.389539809
995	4.387959268
996	4.383939383
997	4.379382292
998	4.377253818
999	4.375428116
